participant_id,smri_mean,smri_std,smri_median,smri_p25,smri_p75,smri_volume,smri_skew,smri_kurtosis
sub-NDARINVAG388HJL,150.46322631835938,181.8596649169922,18.0,5.0,313.0,4650507.0,0.8529658913612366,-0.6262348890304565
sub-NDARINVAG900RVD,128.73912048339844,168.07720947265625,15.0,6.0,254.0,4689634.0,1.196010708808899,0.4845764935016632
sub-NDARINVAH529JMM,125.246337890625,175.41873168945312,11.0,5.0,252.0,4416797.0,1.2944141626358032,0.605115532875061
sub-NDARINVAK834VNU,174.40528869628906,193.4118194580078,60.0,10.0,315.0,4672256.0,0.9179924130439758,-0.0706317350268364
sub-NDARINVAL101MH2,165.02999877929688,218.7328643798828,15.0,6.0,333.0,4527292.0,1.1233574151992798,0.07067801058292389
sub-NDARINVAM061NXD,136.27651977539062,177.7044677734375,12.0,6.0,281.0,4599363.0,1.0854599475860596,0.016864938661456108
sub-NDARINVAN576KX1,171.7010955810547,202.94155883789062,50.0,12.0,317.0,4775145.0,1.1677367687225342,0.6609197854995728
sub-NDARINVAR463UNP,169.11544799804688,215.5284423828125,38.0,9.0,306.0,4737087.0,2.051109552383423,9.323336601257324
sub-NDARINVAT097DFG,128.70008850097656,168.31544494628906,12.0,5.0,261.0,4577058.0,1.1261436939239502,0.1938025951385498
sub-NDARINVAZ218MB7,145.71945190429688,175.44940185546875,26.0,6.0,295.0,4828433.0,0.915980339050293,-0.4026951491832733
sub-NDARINVBD216MCC,140.13853454589844,184.83798217773438,14.0,6.0,283.0,4674765.0,1.1705912351608276,0.4012177884578705
sub-NDARINVBE389YGF,129.17417907714844,145.3004608154297,40.0,6.0,252.0,4641685.0,0.7808855772018433,-0.7202361226081848
sub-NDARINVBH217XFZ,164.1815643310547,190.1673126220703,44.0,6.0,317.0,4774013.0,0.9440116882324219,0.12163753062486649
sub-NDARINVBH315KUM,143.5983123779297,190.48194885253906,14.0,5.0,285.0,4564160.0,1.2696131467819214,0.9058688879013062
sub-NDARINVBL733HBP,125.67214965820312,173.43634033203125,20.0,13.0,215.0,4349482.0,2.004196882247925,5.271512031555176
sub-NDARINVBM990HJT,118.58651733398438,161.4733123779297,10.0,5.0,249.0,4657974.0,1.1386014223098755,-0.003344958182424307
sub-NDARINVBU789GV0,121.3628921508789,159.95498657226562,12.0,5.0,256.0,4763288.0,1.061120867729187,-0.23838655650615692
sub-NDARINVBY805EE5,164.62591552734375,189.99884033203125,41.0,5.0,325.0,4681871.0,0.8237977623939514,-0.5255584716796875
sub-NDARINVBZ622PEX,132.40628051757812,182.24542236328125,13.0,7.0,266.0,4651122.0,1.2633178234100342,0.47615766525268555
sub-NDARINVCA042YER,167.0331573486328,200.49166870117188,23.0,8.0,328.0,4605388.0,0.9731333255767822,-0.08338453620672226
sub-NDARINVCE244AGN,133.78753662109375,153.1815185546875,32.0,7.0,265.0,4655215.0,0.8527993559837341,-0.4348156452178955
sub-NDARINVCL131GYQ,146.48403930664062,171.27903747558594,23.0,6.0,295.0,4667828.0,0.8257642984390259,-0.5816460251808167
sub-NDARINVCM621YRY,140.67465209960938,179.5565948486328,16.0,5.0,277.0,4642142.0,1.0814677476882935,0.0009757727384567261
sub-NDARINVCV410NUH,134.2844696044922,157.1822509765625,25.0,5.0,266.0,4796510.0,0.9017475843429565,-0.21374382078647614
sub-NDARINVCW125BLA,128.22421264648438,171.91744995117188,12.0,5.0,260.0,4633683.0,1.202221155166626,0.3952118456363678
sub-NDARINVCW577CWF,179.2640380859375,212.78395080566406,50.0,6.0,343.0,4811062.0,1.0137813091278076,0.11954829096794128
sub-NDARINVCX643TCM,169.26797485351562,202.5672607421875,32.0,5.0,336.0,4745178.0,1.0311353206634521,0.5287747979164124
sub-NDARINVDC524THW,122.81612396240234,161.1007537841797,13.0,5.0,246.0,4520652.0,1.1379550695419312,0.10838209837675095
sub-NDARINVDD155BRR,107.88175201416016,149.5611572265625,10.0,5.0,221.0,4607607.0,1.2470500469207764,0.448157399892807
sub-NDARINVDG233EBR,114.43408203125,149.8810272216797,11.0,5.0,234.0,4598255.0,1.1375821828842163,0.23053120076656342
sub-NDARINVDK220VPQ,200.76962280273438,218.69015502929688,97.0,11.0,371.0,4775705.0,0.8886696100234985,0.029821153730154037
sub-NDARINVDM785DVB,131.3710174560547,175.5379638671875,12.0,5.0,272.0,4601207.0,1.1402270793914795,0.12392596900463104
sub-NDARINVDN485GPF,129.1198272705078,166.9477081298828,12.0,5.0,267.0,4608421.0,1.0381357669830322,-0.17081420123577118
sub-NDARINVDP288XND,105.52454376220703,141.50775146484375,11.0,5.0,220.0,4689584.0,1.1570552587509155,0.15287929773330688
sub-NDARINVDT499KZL,221.54556274414062,250.58360290527344,89.0,8.0,402.0,4815620.0,0.9840707182884216,0.2721308767795563
sub-NDARINVDU085XVZ,191.38900756835938,228.6800079345703,54.0,8.0,352.0,4771412.0,1.185806393623352,0.9406859278678894
sub-NDARINVDV232BEQ,126.87527465820312,161.69749450683594,14.0,5.0,250.0,4478263.0,1.1044222116470337,0.14569230377674103
sub-NDARINVDZ608PPY,171.908935546875,220.81979370117188,26.0,8.0,318.0,4652450.0,1.33218252658844,1.1927826404571533
sub-NDARINVED812LMR,164.39651489257812,194.41607666015625,38.0,7.0,311.0,4709967.0,1.0694607496261597,0.49903440475463867
sub-NDARINVEG178LHD,119.32454681396484,161.48350524902344,12.0,5.0,252.0,4395793.0,1.145148515701294,0.05055481195449829
sub-NDARINVEJ537VGZ,125.45670318603516,164.46560668945312,12.0,5.0,256.0,4692143.0,1.142338514328003,0.268801212310791
sub-NDARINVEK685MY0,117.67393493652344,158.0958709716797,11.0,5.0,246.0,4356589.0,1.1496738195419312,0.1583995223045349
sub-NDARINVEN039PVQ,127.77128601074219,175.0247344970703,12.0,5.0,269.0,4408592.0,1.151748538017273,-0.011976722627878189
sub-NDARINVEP476HJ3,155.34878540039062,182.18873596191406,30.0,5.0,314.0,4777674.0,0.8113203048706055,-0.7111380100250244
sub-NDARINVEY033HCZ,134.94464111328125,170.8699493408203,15.0,7.0,267.0,4669792.0,1.1153630018234253,0.24833042919635773
sub-NDARINVEY681MZ7,145.25698852539062,178.8736114501953,22.0,6.0,278.0,4575418.0,1.129334568977356,0.5011454224586487
sub-NDARINVFE128JJV,110.51700592041016,146.95361328125,12.0,6.0,224.0,4535563.0,1.1758899688720703,0.23911702632904053
sub-NDARINVFH503ZWA,129.2720489501953,177.5049285888672,11.0,4.0,264.0,4617902.0,1.1962610483169556,0.26939770579338074
sub-NDARINVFJ172LJ5,180.95895385742188,200.86524963378906,78.0,7.0,336.0,4769259.0,0.8668140172958374,-0.17974017560482025
sub-NDARINVFT463JPQ,151.7236328125,189.14837646484375,20.0,6.0,297.0,4691528.0,1.0622491836547852,0.07455652207136154
sub-NDARINVFU389BX1,132.03404235839844,166.6215362548828,13.0,5.0,278.0,4491023.0,0.9437634944915771,-0.5175172686576843
sub-NDARINVFW143KVU,145.4408721923828,186.03773498535156,15.0,7.0,286.0,4454218.0,1.148105502128601,0.4010360538959503
sub-NDARINVFW876XT7,132.21908569335938,178.11370849609375,11.0,5.0,266.0,4539688.0,1.183523178100586,0.26204344630241394
sub-NDARINVFX289XV7,133.81825256347656,181.67457580566406,16.0,5.0,272.0,4584680.0,1.2411574125289917,0.582994818687439
sub-NDARINVFY729CMQ,145.0811309814453,182.01434326171875,26.0,6.0,288.0,4647427.0,1.107625126838684,0.2605505883693695
sub-NDARINVGB107TDU,196.6984405517578,208.72177124023438,120.0,7.0,356.0,4817504.0,0.8140658736228943,-0.06581097096204758
sub-NDARINVGB371PPV,160.69532775878906,187.4931640625,40.0,7.0,308.0,4837707.0,0.9799041748046875,0.13204242289066315
sub-NDARINVGG504ENV,179.9253692626953,233.46286010742188,21.0,6.0,348.0,4466164.0,1.2190581560134888,0.6897994875907898
sub-NDARINVGH969TWR,193.1252899169922,218.2362060546875,58.0,5.0,371.0,4728265.0,0.8634558916091919,-0.03758324310183525
sub-NDARINVGK662YZW,124.74100494384766,169.6903076171875,11.0,5.0,252.0,4591948.0,1.2280631065368652,0.4518474340438843
